Size, m	+ X (any aperture size)	+/- Y (Average aperture size)	Maximum standard deviation	Preferred wire size	Maximum wire size	Minimum wire size
0.125	0.00406	0.0033		0.008	0.0092	0.0068
0.112	0.00374	0.00296		0.008	0.0092	0.0068
0.106	0.00359	0.0028		0.0063	0.0072	0.0054
0.1	0.00344	0.00265		0.0063	0.0072	0.0054
0.09	0.00318	0.00239		0.0063	0.0072	0.0054
0.08	0.00291	0.00213		0.0063	0.0072	0.0054
0.075	0.00278	0.002		0.0063	0.0072	0.0054
0.071	0.00267	0.00189		0.0056	0.0064	0.0048
0.063	0.00244	0.00169		0.0056	0.0064	0.0048
0.056	0.00224	0.0015		0.005	0.0058	0.0043
0.053	0.00215	0.00142		0.005	0.0058	0.0043
0.05	0.00206	0.00134		0.005	0.0058	0.0043
0.045	0.00191	0.00121	0.001	0.0045	0.0052	0.0038
0.04	0.00175	0.00108	0.001	0.0045	0.0052	0.0038
0.0375	0.00167	0.00101	0.001	0.0045	0.0052	0.0038
0.0355	0.0016	0.00096	0.001	0.004	0.0046	0.0034
0.0315	0.00147	0.00085	0.000905	0.004	0.0046	0.0034
0.028	0.00135	0.00076	0.000801	0.00355	0.0041	0.003
0.0265	0.00129	0.00072	0.000757	0.00355	0.0041	0.003
0.025	0.00124	0.00068	0.000713	0.00355	0.0041	0.003
0.0224	0.00114	0.00061	0.000641	0.00355	0.0041	0.003
0.02	0.00105	0.00055	0.000575	0.00315	0.0036	0.0027
0.019	0.00101	0.00052	0.000548	0.00315	0.0036	0.0027
0.018	0.00097	0.00049	0.00052	0.00315	0.0036	0.0027
0.016	0.00089	0.00044	0.000467	0.00315	0.0036	0.0027
0.014	0.00081	0.00039	0.000413	0.0028	0.0032	0.0024
0.0132	0.00078	0.00037	0.000392	0.0028	0.0032	0.0024
0.0125	0.00075	0.00035	0.000374	0.0025	0.0029	0.0021
0.0112	0.00069	0.00031	0.000339	0.0025	0.0029	0.0021
0.01	0.00064	0.00028	0.000307	0.0025	0.0029	0.0021
0.0095	0.00061	0.00027	0.000294	0.00224	0.0026	0.0019
0.009	0.00059	0.00025	0.000281	0.00224	0.0026	0.0019
0.008	0.00054	0.00022	0.000254	0.002	0.0023	0.0017
0.0071	0.0005	0.0002	0.000229	0.0018	0.0021	0.0015
0.0067	0.00048	0.00019	0.000218	0.0018	0.0021	0.0015
0.0063	0.00046	0.00018	0.000207	0.0018	0.0021	0.0015
0.0056	0.00042	0.00016	0.000188	0.0016	0.0019	0.0013
0.005	0.00039	0.00014	0.000171	0.0016	0.0019	0.0013
0.00475	0.00037	0.00014	0.000164	0.0016	0.0019	0.0013
